ID,geneName,ORF,fullName,uniprot,GO,EC,KO,organism
1177,XC_1218,XC_1218,Beta-mannosidase,A0A0H2X6Y8,GO:0004553; GO:0005975,,K01192,Xanthomonas campestris pv. campestris (strain 8004)
1178,XC_1219,XC_1219,Beta-hexosaminidase,A0A0H2X5I4,GO:0004563; GO:0005975,,K12373,Xanthomonas campestris pv. campestris (strain 8004)
1179,XC_1220,XC_1220,Uncharacterized protein,A0A0H2X6V3,GO:0004568; GO:0005975; GO:0006032,,,Xanthomonas campestris pv. campestris (strain 8004)
1180,XC_1221,XC_1221,Alpha-L-fucosidase,A0A0H2X4Z5,GO:0004560; GO:0005975,,K01206,Xanthomonas campestris pv. campestris (strain 8004)
1181,XC_1222,XC_1222,TonB-dependent receptor,A0A0H2X5A6,GO:0009279; GO:0004872; GO:0006810,,K02014,Xanthomonas campestris pv. campestris (strain 8004)
1182,XC_1223,XC_1223,Glucose kinase,A0A0H2X6Z5,GO:0005524; GO:0004340; GO:0006096,,K00845,Xanthomonas campestris pv. campestris (strain 8004)
1183,XC_1224,XC_1224,Ribosomal RNA small subunit methyltransferase E,A0A0H2X5I8,GO:0005737; GO:0008168; GO:0006364,2.1.1.193,K09761,Xanthomonas campestris pv. campestris (strain 8004)
1184,XC_1225,XC_1225,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,A0A0H2X6V7,GO:0004015; GO:0030170; GO:0009102,,K00833,Xanthomonas campestris pv. campestris (strain 8004)
1185,XC_1226,XC_1226,ADP compounds hydrolase,A0A0H2X500,GO:0016787,,K08312,Xanthomonas campestris pv. campestris (strain 8004)
1186,XC_1227,XC_1227,Sulfite synthesis pathway protein,A0A0H2X5B5,GO:0016020; GO:0000287; GO:0046854,,K01082,Xanthomonas campestris pv. campestris (strain 8004)
1187,XC_1228,XC_1228,Uncharacterized protein,A0A0H2X700,,,K04765,Xanthomonas campestris pv. campestris (strain 8004)
1188,XC_1229,XC_1229,UPF0060 membrane protein XC_1229,Q4UXC5,GO:0016021; GO:0005886,,K09771,Xanthomonas campestris pv. campestris (strain 8004)
1189,XC_1230,XC_1230,Uncharacterized protein,A0A0H2X5J2,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
1190,XC_1231,XC_1231,Uncharacterized protein,A0A0H2X6W2,GO:0016021,,K07340,Xanthomonas campestris pv. campestris (strain 8004)
1191,gcvT,XC_1232,Aminomethyltransferase,Q4UXC2,GO:0004047; GO:0008483; GO:0019464,2.1.2.10,K00605,Xanthomonas campestris pv. campestris (strain 8004)
1192,gcvH,XC_1233,Glycine cleavage system H protein,Q4UXC1,GO:0005960; GO:0019464,,K02437,Xanthomonas campestris pv. campestris (strain 8004)
1193,XC_1234,XC_1234,Histone H1,A0A0H2X505,,,,Xanthomonas campestris pv. campestris (strain 8004)
1194,XC_1235,XC_1235,Beta-lactamase,A0A0H2X5C1,,,K01467,Xanthomonas campestris pv. campestris (strain 8004)
1195,XC_1236,XC_1236,Uncharacterized protein,A0A0H2X705,GO:0016021; GO:0005524; GO:0005471,,K03301,Xanthomonas campestris pv. campestris (strain 8004)
1196,XC_1237,XC_1237,Uncharacterized protein,A0A0H2X5J7,GO:0016021,,K08987,Xanthomonas campestris pv. campestris (strain 8004)
1197,XC_1238,XC_1238,Acyl-CoA dehydrogenase,A0A0H2X6W7,GO:0016021; GO:0003995; GO:0050660; GO:0033539,,K06445,Xanthomonas campestris pv. campestris (strain 8004)
1198,XC_1239,XC_1239,Uncharacterized protein,A0A0H2X510,,,,Xanthomonas campestris pv. campestris (strain 8004)
1199,XC_1240,XC_1240,Transcriptional regulator,A0A0H2X5C9,GO:0003677; GO:0006355; GO:0006351,,,Xanthomonas campestris pv. campestris (strain 8004)
1200,XC_1241,XC_1241,TonB-dependent receptor,A0A0H2X709,GO:0009279; GO:0004872; GO:0006810,,K02014,Xanthomonas campestris pv. campestris (strain 8004)
1201,XC_1242,XC_1242,Uncharacterized protein,A0A0H2X5K2,,,,Xanthomonas campestris pv. campestris (strain 8004)
1202,XC_1243,XC_1243,33 kDa chaperonin,A0A0H2X6X4,GO:0005737; GO:0006457,,K04083,Xanthomonas campestris pv. campestris (strain 8004)
1203,mtgA,XC_1244,Monofunctional biosynthetic peptidoglycan transglycosylase,Q4UXB0,GO:0016021; GO:0009274; GO:0005886; GO:0016763; GO:0071555; GO:0009252; GO:0008360,2.4.2.-,K03814,Xanthomonas campestris pv. campestris (strain 8004)
1204,XC_1245,XC_1245,Glucosyl transferase,A0A0H2X515,GO:0016021; GO:0016740,,K20534,Xanthomonas campestris pv. campestris (strain 8004)
1205,XC_1246,XC_1246,Uncharacterized protein,A0A0H2X5D5,,,,Xanthomonas campestris pv. campestris (strain 8004)
1206,XC_1247,XC_1247,Uncharacterized protein,A0A0H2X713,GO:0016021,,K07290,Xanthomonas campestris pv. campestris (strain 8004)
1207,XC_1248,XC_1248,Hemolysin III,A0A0H2X5K6,GO:0016021; GO:0019835,,K11068,Xanthomonas campestris pv. campestris (strain 8004)
1208,prfC,XC_1249,Peptide chain release factor 3,Q4UXA5,GO:0005737; GO:0005525; GO:0003924; GO:0016149; GO:0006449,,K02837,Xanthomonas campestris pv. campestris (strain 8004)
1209,XC_1250,XC_1250,Uncharacterized protein,A0A0H2X6Y0,,,,Xanthomonas campestris pv. campestris (strain 8004)
1210,XC_1251,XC_1251,Homoserine O-acetyltransferase,A0A0H2X520,GO:0005737; GO:0004414; GO:0009086,2.3.1.31,K00641,Xanthomonas campestris pv. campestris (strain 8004)
1211,XC_1252,XC_1252,Cystathionine gamma-synthase,A0A0H2X5E2,GO:0003824; GO:0030170,,K01739,Xanthomonas campestris pv. campestris (strain 8004)
1212,XC_1253,XC_1253,Homoserine dehydrogenase,A0A0H2X718,GO:0004412; GO:0050661; GO:0009097; GO:0009086; GO:0009088,1.1.1.3,K00003,Xanthomonas campestris pv. campestris (strain 8004)
1213,XC_1254,XC_1254,Hydrolase,A0A0H2X5L1,GO:0016787,,,Xanthomonas campestris pv. campestris (strain 8004)
1214,XC_1255,XC_1255,L-serine dehydratase,A0A0H2X6Y4,GO:0051539; GO:0003941; GO:0006094,,K01752,Xanthomonas campestris pv. campestris (strain 8004)
1215,XC_1256,XC_1256,Uncharacterized protein,A0A0H2X525,,,,Xanthomonas campestris pv. campestris (strain 8004)
1216,XC_1257,XC_1257,Uncharacterized protein,A0A0H2X5E8,,,,Xanthomonas campestris pv. campestris (strain 8004)
1217,XC_1258,XC_1258,Cytochrome B561,A0A0H2X722,GO:0016021; GO:0009055; GO:0022904,,K12262,Xanthomonas campestris pv. campestris (strain 8004)
1218,XC_1259,XC_1259,Uncharacterized protein,A0A0H2X5L5,,,,Xanthomonas campestris pv. campestris (strain 8004)
1219,XC_1260,XC_1260,Histidine kinase/response regulator hybrid protein,A0A0H2X6Z2,GO:0016021; GO:0005622; GO:0000155,,,Xanthomonas campestris pv. campestris (strain 8004)
1220,XC_1261,XC_1261,Histidine kinase/response regulator hybrid protein,A0A0H2X530,GO:0016021; GO:0005622; GO:0000155,,,Xanthomonas campestris pv. campestris (strain 8004)
1221,XC_1262,XC_1262,Histidine kinase/response regulator hybrid protein,A0A0H2X5F4,GO:0016021; GO:0005622; GO:0000155,,,Xanthomonas campestris pv. campestris (strain 8004)
1222,XC_1263,XC_1263,MFS transporter,A0A0H2X727,GO:0016021; GO:0005886; GO:0055085,,,Xanthomonas campestris pv. campestris (strain 8004)
1223,XC_1264,XC_1264,Uncharacterized protein,A0A0H2X5L9,,,,Xanthomonas campestris pv. campestris (strain 8004)
1224,hemE,XC_1265,Uroporphyrinogen decarboxylase,Q4UX89,GO:0005737; GO:0004853; GO:0006782,4.1.1.37,K01599,Xanthomonas campestris pv. campestris (strain 8004)
1225,XC_1266,XC_1266,Uncharacterized protein,A0A0H2X6Z8,,,,Xanthomonas campestris pv. campestris (strain 8004)
1226,XC_1267,XC_1267,Pyridoxamine 5'-phosphate oxidase,A0A0H2X535,GO:0010181; GO:0004733,,K00275,Xanthomonas campestris pv. campestris (strain 8004)
1227,aroB,XC_1268,3-dehydroquinate synthase,Q4UX86,GO:0005737; GO:0003856; GO:0009073; GO:0008652; GO:0009423,4.2.3.4,K01735,Xanthomonas campestris pv. campestris (strain 8004)
1228,aroK,XC_1269,Shikimate kinase,Q4UX85,GO:0005737; GO:0005524; GO:0000287; GO:0004765; GO:0009073; GO:0008652; GO:0009423,2.7.1.71,K00891,Xanthomonas campestris pv. campestris (strain 8004)
1229,pdxH,XC_1270,Pyridoxine/pyridoxamine 5'-phosphate oxidase,Q4UX84,GO:0010181; GO:0004733; GO:0008615,1.4.3.5,K00275,Xanthomonas campestris pv. campestris (strain 8004)
1230,XC_1271,XC_1271,Uncharacterized protein,A0A0H2X5F9,,,K09980,Xanthomonas campestris pv. campestris (strain 8004)
1231,XC_1272,XC_1272,Uncharacterized protein,A0A0H2X732,,,,Xanthomonas campestris pv. campestris (strain 8004)
1232,XC_1273,XC_1273,Potassium channel related protein,A0A0H2X5M1,GO:0016021,,K10716,Xanthomonas campestris pv. campestris (strain 8004)
1233,XC_1274,XC_1274,Uncharacterized protein,A0A0H2X704,,,,Xanthomonas campestris pv. campestris (strain 8004)
1234,XC_1275,XC_1275,Uncharacterized protein,A0A0H2X540,GO:0016021,,K08989,Xanthomonas campestris pv. campestris (strain 8004)
1235,XC_1276,XC_1276,Uncharacterized protein,A0A0H2X5H9,,,,Xanthomonas campestris pv. campestris (strain 8004)
1236,XC_1277,XC_1277,Synthetase/amidase,A0A0H2X762,,,,Xanthomonas campestris pv. campestris (strain 8004)
1237,XC_1278,XC_1278,Uncharacterized protein,A0A0H2X5N1,,,,Xanthomonas campestris pv. campestris (strain 8004)
1238,XC_1279,XC_1279,MFS transporter,A0A0H2X735,GO:0016021; GO:0055085,,,Xanthomonas campestris pv. campestris (strain 8004)
1239,XC_1280,XC_1280,Transcriptional regulator soxR family,A0A0H2X568,GO:0051537; GO:0003677; GO:0006355; GO:0006979,,K13639,Xanthomonas campestris pv. campestris (strain 8004)
1240,XC_1281,XC_1281,Uncharacterized protein,A0A0H2X5I2,,,,Xanthomonas campestris pv. campestris (strain 8004)
1241,XC_1282,XC_1282,Peptidase,A0A0H2X767,GO:0006508,,,Xanthomonas campestris pv. campestris (strain 8004)
1242,XC_1283,XC_1283,Uncharacterized protein,A0A0H2X5N3,,,,Xanthomonas campestris pv. campestris (strain 8004)
1243,XC_1284,XC_1284,TonB-dependent receptor,A0A0H2X739,GO:0009279; GO:0004872; GO:0006810,,,Xanthomonas campestris pv. campestris (strain 8004)
1244,XC_1285,XC_1285,Uncharacterized protein,A0A0H2X572,,,,Xanthomonas campestris pv. campestris (strain 8004)
1245,XC_1286,XC_1286,Uncharacterized protein,A0A0H2X5I6,,,,Xanthomonas campestris pv. campestris (strain 8004)
1246,XC_1287,XC_1287,Tryptophan halogenase,A0A0H2X771,GO:0000166; GO:0016491,,K14266,Xanthomonas campestris pv. campestris (strain 8004)
1247,XC_1288,XC_1288,Uncharacterized protein,A0A0H2X5N6,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
1248,XC_1289,XC_1289,Uncharacterized protein,A0A0H2X743,,,K06884,Xanthomonas campestris pv. campestris (strain 8004)
1249,XC_1290,XC_1290,Protein-glutamate methylesterase (CheB),A0A0H2X577,GO:0005737; GO:0000156; GO:0008984; GO:0006935,,K03412,Xanthomonas campestris pv. campestris (strain 8004)
1250,XC_1291,XC_1291,Endoproteinase Arg-C,A0A0H2X5I9,,,,Xanthomonas campestris pv. campestris (strain 8004)
1251,XC_1292,XC_1292,Endoproteinase Arg-C,A0A0H2X775,,,,Xanthomonas campestris pv. campestris (strain 8004)
1252,XC_1293,XC_1293,Amino acid transporter,A0A0H2X5N8,GO:0016021; GO:0015171,,,Xanthomonas campestris pv. campestris (strain 8004)
1253,XC_1294,XC_1294,Uncharacterized protein,A0A0H2X746,,,,Xanthomonas campestris pv. campestris (strain 8004)
1254,XC_1295,XC_1295,Transcriptional regulator ahyR/asaR family,A0A0H2X582,GO:0003677; GO:0006355; GO:0006351,,K07782,Xanthomonas campestris pv. campestris (strain 8004)
1255,XC_1296,XC_1296,Proline imino-peptidase,A0A0H2X5J1,GO:0008233,,K18457,Xanthomonas campestris pv. campestris (strain 8004)
1256,XC_1297,XC_1297,Uncharacterized protein,A0A0H2X779,,,,Xanthomonas campestris pv. campestris (strain 8004)
1257,XC_1298,XC_1298,Pectate lyase II,A0A0H2X5P0,GO:0005576; GO:0016829; GO:0000272,,K01728,Xanthomonas campestris pv. campestris (strain 8004)
1258,XC_1299,XC_1299,Amino acid transporter,A0A0H2X750,GO:0016021; GO:0015171,,K03293,Xanthomonas campestris pv. campestris (strain 8004)
1259,XC_1300,XC_1300,"Quinol oxidase, subunit I",A0A0H2X587,GO:0016021,,K00425,Xanthomonas campestris pv. campestris (strain 8004)
1260,XC_1301,XC_1301,"Quinol oxidase, subunit II",A0A0H2X5J4,GO:0016021; GO:0055114,,K00426,Xanthomonas campestris pv. campestris (strain 8004)
1261,XC_1302,XC_1302,Uncharacterized protein,A0A0H2X784,GO:0008236,,,Xanthomonas campestris pv. campestris (strain 8004)
1262,XC_1303,XC_1303,Magnesium transporter MgtE,A0A0H2X5P2,GO:0016021; GO:0005886; GO:0015095; GO:0046872; GO:0015693,,K06213,Xanthomonas campestris pv. campestris (strain 8004)
1263,XC_1304,XC_1304,Phosphoenolpyruvate-protein phosphotransferase,A0A0H2X754,GO:0005737; GO:0016301; GO:0046872; GO:0008965; GO:0009401,2.7.3.9,K08483,Xanthomonas campestris pv. campestris (strain 8004)
1264,XC_1305,XC_1305,Phosphotransferase system HPr enzyme,A0A0H2X592,GO:0005737; GO:0004674; GO:0009401,,K11189,Xanthomonas campestris pv. campestris (strain 8004)
1265,XC_1306,XC_1306,Uncharacterized protein,A0A0H2X5J6,GO:0016021; GO:0009401,,K02821,Xanthomonas campestris pv. campestris (strain 8004)
1266,XC_1307,XC_1307,Nucleotide-binding protein XC_1307,Q4UX47,GO:0005524; GO:0005525,,K06958,Xanthomonas campestris pv. campestris (strain 8004)
1267,hprK,XC_1308,HPr kinase/phosphorylase,Q4UX46,GO:0005622; GO:0005524; GO:0000287; GO:0000155; GO:0004674; GO:0004712; GO:0006109,2.7.11.-; 2.7.4.-,K06023,Xanthomonas campestris pv. campestris (strain 8004)
1268,XC_1309,XC_1309,Nitrogen regulatory IIA protein,A0A0H2X789,GO:0005215,,K02806,Xanthomonas campestris pv. campestris (strain 8004)
1269,XC_1310,XC_1310,Sigma-54 modulation protein,A0A0H2X5P5,GO:0044238,,K05808,Xanthomonas campestris pv. campestris (strain 8004)
1270,XC_1311,XC_1311,RNA polymerase sigma-54 factor,A0A0H2X757,GO:0003677; GO:0003899; GO:0016987; GO:0003700; GO:0006352,,K03092,Xanthomonas campestris pv. campestris (strain 8004)
1271,XC_1312,XC_1312,ABC transporter ATP-binding protein,A0A0H2X597,GO:0043190; GO:0005524; GO:0016887; GO:0055085,,K06861,Xanthomonas campestris pv. campestris (strain 8004)
1272,lptA,XC_1313,Lipopolysaccharide export system protein LptA,A0A0H2X5J8,GO:0042597; GO:0001530; GO:0043165; GO:0015920,,K09774,Xanthomonas campestris pv. campestris (strain 8004)
1273,lptC,XC_1314,Lipopolysaccharide export system protein LptC,A0A0H2X794,GO:0005887; GO:0015221; GO:0043165; GO:0015920,,K11719,Xanthomonas campestris pv. campestris (strain 8004)
1274,XC_1315,XC_1315,Uncharacterized protein,A0A0H2X5P8,GO:0019143; GO:0046872,,K03270,Xanthomonas campestris pv. campestris (strain 8004)
1275,XC_1316,XC_1316,Arabinose 5-phosphate isomerase,A0A0H2X761,GO:0019146; GO:0030246; GO:0046872; GO:0005975,5.3.1.13,K06041,Xanthomonas campestris pv. campestris (strain 8004)
1276,XC_1317,XC_1317,Uncharacterized protein,A0A0H2X5A1,,,,Xanthomonas campestris pv. campestris (strain 8004)
1277,murA,XC_1318,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,Q4UX36,GO:0005737; GO:0008760; GO:0007049; GO:0051301; GO:0071555; GO:0009252; GO:0008360; GO:0019277,2.5.1.7,K00790,Xanthomonas campestris pv. campestris (strain 8004)
1278,XC_1319,XC_1319,Uncharacterized protein,A0A0H2X5K0,GO:0005509,,,Xanthomonas campestris pv. campestris (strain 8004)
1279,XC_1320,XC_1320,Uncharacterized protein,A0A0H2X797,,,,Xanthomonas campestris pv. campestris (strain 8004)
1280,XC_1321,XC_1321,Uncharacterized protein,A0A0H2X5Q2,,,,Xanthomonas campestris pv. campestris (strain 8004)
1281,purN,XC_1322,Phosphoribosylglycinamide formyltransferase,A0A0H2X765,GO:0004644; GO:0006189,2.1.2.2,K11175,Xanthomonas campestris pv. campestris (strain 8004)
1282,XC_1323,XC_1323,Uncharacterized protein,A0A0H2X5A4,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
1283,purM,XC_1324,Phosphoribosylformylglycinamidine cyclo-ligase,Q4UX30,GO:0005737; GO:0005524; GO:0004641; GO:0006189,6.3.3.1,K01933,Xanthomonas campestris pv. campestris (strain 8004)
1284,XC_1325,XC_1325,Uncharacterized protein,A0A0H2X5K3,,,K09938,Xanthomonas campestris pv. campestris (strain 8004)
1285,XC_1326,XC_1326,Permease,A0A0H2X7A1,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
1286,XC_1327,XC_1327,Replication related protein,A0A0H2X5Q7,GO:0005524; GO:0032297,,K10763,Xanthomonas campestris pv. campestris (strain 8004)
1287,XC_1328,XC_1328,Nucleotidyl transferase,A0A0H2X772,GO:0016779; GO:0009058,,K00992,Xanthomonas campestris pv. campestris (strain 8004)
1288,XC_1329,XC_1329,Uncharacterized protein,A0A0H2X5A8,,,K07102,Xanthomonas campestris pv. campestris (strain 8004)
1289,XC_1330,XC_1330,Uncharacterized protein,A0A0H2X5K7,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
1290,XC_1331,XC_1331,Succinyl-diaminopimelate desuccinylase,A0A0H2X7A6,GO:0016787; GO:0008152,,,Xanthomonas campestris pv. campestris (strain 8004)
1291,XC_1332,XC_1332,DNA transport competence protein,A0A0H2X5R1,,,K02237,Xanthomonas campestris pv. campestris (strain 8004)
1292,XC_1333,XC_1333,Uncharacterized protein,A0A0H2X777,,,K09975,Xanthomonas campestris pv. campestris (strain 8004)
1293,XC_1334,XC_1334,Sulfite reductase,A0A0H2X5B0,GO:0016021; GO:0010181; GO:0016491,,K00380,Xanthomonas campestris pv. campestris (strain 8004)
1294,XC_1335,XC_1335,FAD:protein FMN transferase,A0A0H2X5L0,GO:0005886; GO:0046872; GO:0016740; GO:0017013,2.7.1.180,K03734,Xanthomonas campestris pv. campestris (strain 8004)
1295,XC_1336,XC_1336,Uncharacterized protein,A0A0H2X7B2,,,,Xanthomonas campestris pv. campestris (strain 8004)
1296,XC_1337,XC_1337,Uncharacterized protein,A0A0H2X5R5,,,,Xanthomonas campestris pv. campestris (strain 8004)
1297,XC_1338,XC_1338,Uncharacterized protein,A0A0H2X783,GO:0016021,,K09939,Xanthomonas campestris pv. campestris (strain 8004)
1298,XC_1339,XC_1339,Uncharacterized protein,A0A0H2X5B3,,,K07126,Xanthomonas campestris pv. campestris (strain 8004)
1299,XC_1340,XC_1340,PKHD-type hydroxylase XC_1340,Q4UX14,GO:0005506; GO:0031418; GO:0016706,1.14.11.-,K07336,Xanthomonas campestris pv. campestris (strain 8004)
1300,XC_1341,XC_1341,TonB-dependent receptor,A0A0H2X5L4,GO:0009279; GO:0016021; GO:0005506; GO:0004872; GO:0015891,,K16090,Xanthomonas campestris pv. campestris (strain 8004)
1301,XC_1342,XC_1342,"Benzene 1,2-dioxygenase, ferredoxin protein",A0A0H2X7B6,GO:0051537; GO:0051213; GO:0046872,,K05710,Xanthomonas campestris pv. campestris (strain 8004)
1302,XC_1343,XC_1343,Acetyltransferase,A0A0H2X5R7,GO:0008080,,,Xanthomonas campestris pv. campestris (strain 8004)
1303,XC_1344,XC_1344,Cysteine desulfurase,A0A0H2X787,GO:0031071; GO:0030170; GO:0006534,2.8.1.7,K11717,Xanthomonas campestris pv. campestris (strain 8004)
1304,XC_1345,XC_1345,ABC transporter permease,A0A0H2X5B7,GO:0016226,,K09015,Xanthomonas campestris pv. campestris (strain 8004)
1305,XC_1346,XC_1346,ABC transporter ATP-binding protein,A0A0H2X5L8,GO:0005524; GO:0016887; GO:0006810,,K09013,Xanthomonas campestris pv. campestris (strain 8004)
1306,XC_1347,XC_1347,ABC transporter permease,A0A0H2X7C2,GO:0016226,,K09014,Xanthomonas campestris pv. campestris (strain 8004)
1307,XC_1348,XC_1348,Uncharacterized protein,A0A0H2X5S1,,,,Xanthomonas campestris pv. campestris (strain 8004)
1308,XC_1349,XC_1349,Uncharacterized protein,A0A0H2X791,,,K07117,Xanthomonas campestris pv. campestris (strain 8004)
1309,XC_1350,XC_1350,Protease,A0A0H2X5C0,GO:0008233,,K05520,Xanthomonas campestris pv. campestris (strain 8004)
1310,XC_1351,XC_1351,Uncharacterized protein,A0A0H2X5M0,,,,Xanthomonas campestris pv. campestris (strain 8004)
1311,XC_1352,XC_1352,Uncharacterized protein,A0A0H2X7C6,,,,Xanthomonas campestris pv. campestris (strain 8004)
1312,XC_1353,XC_1353,Uncharacterized protein,A0A0H2X5S3,,,,Xanthomonas campestris pv. campestris (strain 8004)
1313,XC_1354,XC_1354,Peptidase,A0A0H2X796,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
1314,XC_1355,XC_1355,Histone-like protein,A0A0H2X5C4,GO:0003677,,,Xanthomonas campestris pv. campestris (strain 8004)
1315,proC,XC_1356,Pyrroline-5-carboxylate reductase,A0A0H2X5M2,GO:0005737; GO:0004735; GO:0055129,1.5.1.2,K00286,Xanthomonas campestris pv. campestris (strain 8004)
1316,XC_1357,XC_1357,Uncharacterized protein,A0A0H2X7D1,,,K06997,Xanthomonas campestris pv. campestris (strain 8004)
1317,XC_1358,XC_1358,Twitching motility protein,A0A0H2X5S7,GO:0005524; GO:0006810,,K02669,Xanthomonas campestris pv. campestris (strain 8004)
1318,XC_1359,XC_1359,Twitching motility protein,A0A0H2X7A3,GO:0005524; GO:0006810,,K02670,Xanthomonas campestris pv. campestris (strain 8004)
1319,XC_1360,XC_1360,Uncharacterized protein,A0A0H2X5C8,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
1320,XC_1361,XC_1361,Uncharacterized protein,A0A0H2X5M3,,,,Xanthomonas campestris pv. campestris (strain 8004)
1321,XC_1362,XC_1362,Uncharacterized protein,A0A0H2X7D6,,,,Xanthomonas campestris pv. campestris (strain 8004)
1322,XC_1363,XC_1363,DNA-3-methyladenine glycosylase I,A0A0H2X5S9,GO:0008725; GO:0006284,,K01246,Xanthomonas campestris pv. campestris (strain 8004)
1323,XC_1364,XC_1364,Uncharacterized protein,A0A0H2X7A7,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
1324,XC_1365,XC_1365,UPF0301 protein XC_1365,Q4UWY9,,,K07735,Xanthomonas campestris pv. campestris (strain 8004)
1325,XC_1366,XC_1366,Putative pre-16S rRNA nuclease,Q4UWY8,GO:0005737; GO:0004518; GO:0003676; GO:0000967,3.1.-.-,K07447,Xanthomonas campestris pv. campestris (strain 8004)
1326,pyrB,XC_1367,Aspartate carbamoyltransferase,Q4UWY7,GO:0016597; GO:0004070; GO:0006207; GO:0044205; GO:0006520,2.1.3.2,K00609,Xanthomonas campestris pv. campestris (strain 8004)
1327,XC_1368,XC_1368,Osmotically inducible protein,A0A0H2X5D0,GO:0004601; GO:0006979,,K04063,Xanthomonas campestris pv. campestris (strain 8004)
1328,XC_1369,XC_1369,Uncharacterized protein,A0A0H2X5M5,GO:0019867,,,Xanthomonas campestris pv. campestris (strain 8004)
1329,XC_1370,XC_1370,Uncharacterized protein,A0A0H2X7E1,GO:0003824; GO:0009058,,,Xanthomonas campestris pv. campestris (strain 8004)
1330,XC_1371,XC_1371,Uncharacterized protein,A0A0H2X5T3,GO:0003824; GO:0009058,,,Xanthomonas campestris pv. campestris (strain 8004)
1331,XC_1372,XC_1372,Diaminopimelate decarboxylase,A0A0H2X7B1,GO:0016597; GO:0004072; GO:0008836; GO:0009089,,K12526,Xanthomonas campestris pv. campestris (strain 8004)
1332,XC_1373,XC_1373,Uncharacterized protein,A0A0H2X5D4,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
1333,XC_1374,XC_1374,Uncharacterized protein,A0A0H2X5M7,,,,Xanthomonas campestris pv. campestris (strain 8004)
1334,murD,XC_1375,UDP-N-acetylmuramoylalanine--D-glutamate ligase,Q4UWX9,GO:0005737; GO:0005524; GO:0004326; GO:0008764; GO:0007049; GO:0051301; GO:0071555; GO:0009252; GO:0008360,6.3.2.9,K01925,Xanthomonas campestris pv. campestris (strain 8004)
1335,XC_1376,XC_1376,Uncharacterized protein,A0A0H2X7E6,GO:0016787,,,Xanthomonas campestris pv. campestris (strain 8004)
1336,XC_1377,XC_1377,Octaprenyl-diphosphate synthase,A0A0H2X5T5,GO:0016740; GO:0008299,,K02523,Xanthomonas campestris pv. campestris (strain 8004)
1337,XC_1378,XC_1378,Single-stranded DNA-binding protein,A0A0H2X7B8,GO:0003697; GO:0006310; GO:0006281; GO:0006260,,K03111,Xanthomonas campestris pv. campestris (strain 8004)
1338,XC_1379,XC_1379,Uncharacterized protein,A0A0H2X5D8,,,,Xanthomonas campestris pv. campestris (strain 8004)
1339,XC_1380,XC_1380,McrB-related protein,A0A0H2X5M8,GO:0005524; GO:0016887,,K07452,Xanthomonas campestris pv. campestris (strain 8004)
1340,XC_1381,XC_1381,Uncharacterized protein,A0A0H2X7F1,,,K19147,Xanthomonas campestris pv. campestris (strain 8004)
1341,XC_1382,XC_1382,Sensor histidine kinase,A0A0H2X5T9,GO:0016301,,,Xanthomonas campestris pv. campestris (strain 8004)
1342,XC_1383,XC_1383,Response regulator,A0A0H2X7C3,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
1343,XC_1384,XC_1384,Alcohol dehydrogenase,A0A0H2X5E3,GO:0016491; GO:0008270,,,Xanthomonas campestris pv. campestris (strain 8004)
1344,XC_1385,XC_1385,Oxidoreductase,A0A0H2X5M9,GO:0051537; GO:0009055; GO:0046872; GO:0016491,,K13483,Xanthomonas campestris pv. campestris (strain 8004)
1345,XC_1386,XC_1386,Oxidoreductase,A0A0H2X7F6,GO:0050660; GO:0016614,,K11178,Xanthomonas campestris pv. campestris (strain 8004)
1346,XC_1387,XC_1387,Oxidoreductase,A0A0H2X5U2,GO:0016491,,K11177,Xanthomonas campestris pv. campestris (strain 8004)
1347,XC_1388,XC_1388,Uncharacterized protein,A0A0H2X7C8,,,K07402,Xanthomonas campestris pv. campestris (strain 8004)
1348,XC_1389,XC_1389,Uncharacterized protein,A0A0H2X5E6,,,K07141,Xanthomonas campestris pv. campestris (strain 8004)
1349,XC_1390,XC_1390,Uncharacterized protein,A0A0H2X5N0,,,,Xanthomonas campestris pv. campestris (strain 8004)
1350,XC_1391,XC_1391,Uncharacterized protein,A0A0H2X7G1,,,,Xanthomonas campestris pv. campestris (strain 8004)
1351,XC_1392,XC_1392,Uncharacterized protein,A0A0H2X5U6,GO:0016021,,,Xanthomonas campestris pv. campestris (strain 8004)
1352,XC_1394,XC_1394,Phospholipase A1,A0A0H2X7D3,,,,Xanthomonas campestris pv. campestris (strain 8004)
1353,XC_1395,XC_1395,Accessory protein,A0A0H2X5F0,,,,Xanthomonas campestris pv. campestris (strain 8004)
